LibraryName,TypeNodeName,FullTransform,PartialTransform,NotTransform
modFunctions,NewObject,0,0,1
frmRequestAproval,CompilationUnit,0,0,1
frmRequestAproval,UsingNamespace,0,0,5
frmRequestAproval,SimpleName,0,0,51
frmRequestAproval,DotName,0,0,11
frmRequestAproval,Namespace,0,0,1
frmRequestAproval,Class,0,0,1
frmRequestAproval,TypeBase,0,0,1
frmRequestAproval,TypeRef,0,0,34
frmRequestAproval,Field,0,0,1
frmRequestAproval,AliasTypeRef,0,0,29
frmRequestAproval,VarDeclarator,0,0,8
frmRequestAproval,VarInit,0,0,8
frmRequestAproval,Literal,0,0,70
frmRequestAproval,Constructor,0,0,1
frmRequestAproval,ParamList,0,0,20
frmRequestAproval,BaseInit,0,0,1
frmRequestAproval,ArgList,0,0,59
frmRequestAproval,Block,0,0,43
frmRequestAproval,If,0,0,16
frmRequestAproval,Eql,0,0,5
frmRequestAproval,SingleAccess,0,0,149
frmRequestAproval,ExpressionStat,0,0,66
frmRequestAproval,Assign,0,0,32
frmRequestAproval,This,0,0,5
frmRequestAproval,Else,0,0,3
frmRequestAproval,Try,0,0,1
frmRequestAproval,And,0,0,2
frmRequestAproval,NotEql,0,0,5
frmRequestAproval,ExprMemberAccess,0,0,107
frmRequestAproval,Call,0,0,57
frmRequestAproval,MemberAccess,0,0,107
frmRequestAproval,ThisMemberAccess,0,0,2
frmRequestAproval,Catch,0,0,1
frmRequestAproval,Arg,0,0,35
frmRequestAproval,Method,0,0,19
frmRequestAproval,Param,0,0,32
frmRequestAproval,DefArg,0,0,2
frmRequestAproval,LocalVarStat,0,0,6
frmRequestAproval,LocalVar,0,0,7
frmRequestAproval,Gt,0,0,1
frmRequestAproval,ExprElementAccess,0,0,3
frmRequestAproval,IndexList,0,0,3
frmRequestAproval,NewObject,0,0,1
frmRequestAproval,Negate,0,0,3
frmRequestAproval,Plus,0,0,43
frmRequestAproval,Not,0,0,7
frmRequestAproval,GenericMemberAccess,0,0,2
frmRequestAproval,TypeArgList,0,0,2
frmRequestAproval,While,0,0,1
frmRequestAproval,Minus,0,0,1
frmRequestAproval,For,0,0,1
frmRequestAproval,ForInit,0,0,1
frmRequestAproval,LtEq,0,0,1
frmRequestAproval,Inc,0,0,2
frmAddProductTo,CompilationUnit,0,0,1
frmAddProductTo,UsingNamespace,0,0,6
frmAddProductTo,DotName,0,0,11
frmAddProductTo,SimpleName,0,0,53
frmAddProductTo,Namespace,0,0,1
frmAddProductTo,Class,0,0,1
frmAddProductTo,TypeBase,0,0,1
frmAddProductTo,TypeRef,0,0,35
frmAddProductTo,Field,0,0,11
frmAddProductTo,AliasTypeRef,0,0,37
frmAddProductTo,VarDeclarator,0,0,27
frmAddProductTo,VarInit,0,0,27
frmAddProductTo,Literal,0,0,114
frmAddProductTo,Constructor,0,0,1
frmAddProductTo,ParamList,0,0,16
frmAddProductTo,BaseInit,0,0,1
frmAddProductTo,ArgList,0,0,81
frmAddProductTo,Block,0,0,62
frmAddProductTo,If,0,0,28
frmAddProductTo,Eql,0,0,9
frmAddProductTo,SingleAccess,0,0,248
frmAddProductTo,ExpressionStat,0,0,74
frmAddProductTo,Assign,0,0,47
frmAddProductTo,This,0,0,9
frmAddProductTo,Else,0,0,7
frmAddProductTo,Try,0,0,2
frmAddProductTo,And,0,0,2
frmAddProductTo,NotEql,0,0,6
frmAddProductTo,ExprMemberAccess,0,0,204
frmAddProductTo,Call,0,0,76
frmAddProductTo,MemberAccess,0,0,209
frmAddProductTo,ThisMemberAccess,0,0,5
frmAddProductTo,Catch,0,0,1
frmAddProductTo,Method,0,0,15
frmAddProductTo,Param,0,0,21
frmAddProductTo,LocalVarStat,0,0,16
frmAddProductTo,LocalVar,0,0,16
frmAddProductTo,For,0,0,5
frmAddProductTo,ForInit,0,0,5
frmAddProductTo,ForExprs,0,0,5
frmAddProductTo,LtEq,0,0,4
frmAddProductTo,Inc,0,0,4
frmAddProductTo,ExprElementAccess,0,0,13
frmAddProductTo,IndexList,0,0,13
frmAddProductTo,Minus,0,0,9
frmAddProductTo,GtEq,0,0,1
frmAddProductTo,Dec,0,0,1
frmAddProductTo,Arg,0,0,90
frmAddProductTo,Return,0,0,2
frmAddProductTo,Foreach,0,0,2
frmAddProductTo,Plus,0,0,41
frmAddProductTo,NewObject,0,0,4
frmAddProductTo,Cond,0,0,1
frmAddProductTo,Nested,0,0,2
frmAddProductTo,Cast,0,0,2
frmAddProductTo,Negate,0,0,1
frmAddProductTo,Finally,0,0,1
frmAddProductTo,Gt,0,0,3
frmAddProductTo,While,0,0,2
frmAddProductTo,Not,0,0,8
frmAddProductTo,Break,0,0,2
frmActionOrderRequest,CompilationUnit,0,0,1
frmActionOrderRequest,UsingNamespace,0,0,5
frmActionOrderRequest,DotName,0,0,11
frmActionOrderRequest,SimpleName,0,0,28
frmActionOrderRequest,Namespace,0,0,1
frmActionOrderRequest,Class,0,0,1
frmActionOrderRequest,TypeBase,0,0,1
frmActionOrderRequest,TypeRef,0,0,11
frmActionOrderRequest,Field,0,0,7
frmActionOrderRequest,AliasTypeRef,0,0,21
frmActionOrderRequest,VarDeclarator,0,0,11
frmActionOrderRequest,VarInit,0,0,11
frmActionOrderRequest,Literal,0,0,111
frmActionOrderRequest,Constructor,0,0,1
